1,黄焖鸡
2,香菇油菜
3,土豆牛肉
4,干锅花菜
5,发糕
6,烤鸡翅根
7,清蒸鱼
8,三色玉米粒
9,松仁玉米
10,杂粮煎饼
11,酱烧鸡翅根
12,糖醋鱼
13,冬瓜粉丝丸子
14,青椒鸡蛋
15,鱼香肉丝
16,鲜蘑肉片
17,滑蛋牛肉
18,红烧肉
19,烤红薯
20,芋头
21,五花肉炖芸豆
22,圆白菜炒豆皮
23,炒饭
24,孜然鸡片
25,原味鸡块
26,干锅千叶豆腐
27,尖椒肉丝
28,西兰花炒蛋
29,尖椒炒豆花
30,糯米糕
31,黄瓜木耳炒肉
32,油菜鸡蛋
33,萝卜炖牛肉
34,元宵
35,豆泡白菜
36,清炒快菜
37,肉加馍
38,香辣牛肉
39,糖醋里脊
40,蒜苗炒鸡蛋
41,干锅羊排
42,油焖茄子
43,醋溜白菜
44,饺子
45,烧饼加鸡排
46,香辣土豆鸡丁
47,酸辣白菜
48,香酥饼
49,蒜苔炒肉
50,清炒菜心
51,金针菇肥牛
52,红烧狮子头
53,冬瓜榨菜汤
54,奥尔良烤鸡腿
55,黄豆炖猪脚
56,烧饼加肠
57,西红柿面
58,回锅牛肉
59,包菜炒粉条
60,牛肉炖土豆
61,葱油鸡腿
62,素大包
63,麻辣豆皮
64,尖椒腊肉
65,小炒肉
66,豉汁豆腐
67,火腿冬瓜
68,小米粥
69,排骨炖士豆
70,剁椒鸡蛋
71,烧卖
72,牙签肉
73,香干炒肉
74,白灼菜
75,海带扣烧肉
76,肥肠豆腐
77,海米烧豆腐
78,干锅仔鸡
79,尖椒炒豆皮
80,粉丝菠菜
81,拉条子
82,樟茶鸭
83,东坡肉
84,干锅牛腩
85,清蒸鸭腿
86,鱼香鸡蛋
87,杏鲍菇炒肉
88,鸡蛋羹
89,糖醋锅包肉
90,油菜炒鸡蛋
91,炒意大利面
92,土豆片炒肉
93,梅菜扣肉
94,锅包肉
95,肉大包
96,冬瓜粉丝汤
97,牛肉土豆丝
98,菜花肉片
99,清炖羊排（纯排）
100,香辣肉丝
101,生炒辣子鸡
102,孜然鸡丁
103,红烧猪耳
104,豆沙包
105,水煎包
106,鸭排饼
107,木耳白菜
108,麻辣鸭血
109,素三丁
110,奥尔良烤鸡翅
111,麻辣鱼豆腐
112,开花馒头
113,花卷
114,熘豆腐
115,鸡米花
116,清炒小白菜
117,枸杞鸡蛋羹
118,溜豆腐
119,香辣鸡腿肉
120,醋溜土豆丝
121,西芹香干
122,冬瓜鸭块
123,西葫芦肉片
124,黑椒牛肉
125,豆角烧茄子
126,黑芝麻
127,西红柿鸡蛋
128,南瓜饼
129,孜然牙签肉
130,辣子肉片
131,外婆菜炒鸡蛋
132,西红柿炒蛋
133,麻婆茄子
134,胡萝卜大包子
135,孜然羊肉
136,椒盐虾
137,山药炖鸭块
138,飘香南瓜条
139,香菇鸡块
140,包菜炒肉
141,水饺
142,煮鸡蛋
143,芹菜炒鸡蛋
144,蒜蓉快菜
145,肉沫雪里红
146,糖醋鱼块
147,西葫芦炒肉片
148,猪血炖豆腐
149,红烧猪角
150,西红柿鸡蛋盖饭
151,干锅菜花
152,清蒸鲈鱼
153,豆腐蒸肉
154,干锅土豆片
155,香菇蒸滑鸡
156,炝炒绿豆芽
157,葱头炒肉
158,蒜香排骨
159,木耳鸡蛋
160,白菜肉片
161,鹤鹑蛋烧肉
162,核桃
163,蒜苔肉丝
164,卤蛋
165,土豆丝卷饼
166,尖椒炒鸡蛋
167,蒜黄炒鸡蛋
168,海米冬瓜
169,鸡蛋
170,香酥鸡柳
171,地三鲜
172,炸鸡翅
173,干锅牛肉
174,西葫芦鸡蛋
175,牛肉包子
176,孜然羊排
177,南乳扣肉
178,圆白菜炒粉条
179,小笼包
180,西葫芦炒肉
181,茶叶蛋
182,清汤丸子
183,麻辣虾丸
184,油煎蛋
185,虎眼丸子
186,菠菜鸡蛋汤
187,面条
188,米线
189,抄手
190,黄瓜鸡蛋
191,杭椒牛柳
192,肉大包子
193,清炒绿豆芽
194,清炒芥兰
195,可乐
196,红烧排骨
197,锅包鸡肉
198,三明治
199,酱爆鸭片
200,酱香琵琶腿
201,茭白炒肉片
202,糖醋排骨
203,尖椒鸡蛋拌面
204,芝麻球
205,肉馅饼
206,奥尔良鸡腿肉
207,米饭
208,谷雨时节
209,韭菜炒鸡蛋
210,小笼包
211,麻辣豆腐
212,蘑菇肉片
213,肉沫酸菜粉
214,豆浆
215,红烧丸子
216,炒合菜
217,豇豆肉丝
218,冬瓜里脊
219,韭菜炒豆芽
220,小白菜炒粉条
221,炸酱面
222,面筋烧肉
223,香菇肉片
224,肉沫烧豆腐
225,排骨炖冬瓜
226,南乳烧肉
227,香辣鸡丁
228,红烧肘子肉
229,麻辣香锅
230,油炸糕
231,红烧鲅鱼
232,红烧豆腐
233,麻辣鸭块
234,飞鸿鸡块
235,酸汤肉片
236,莲藕肉片
237,火爆鸡胗
238,红烧鱼丸
239,萝卜牛腩
240,蒜蓉菊花菜
241,尖椒土豆丝
242,黄焖鸡块
243,干煸豆角
244,玉米蛋黄羹
245,腊肉芹菜
246,口水鸡
247,冬瓜肉片
248,莲藕炒肉
249,酸菜白肉
250,番茄豆腐
251,小炒黄牛肉
252,臊子面
253,韭菜馅饼
254,加肉拉面
255,紫菜蛋花汤
256,牛奶
257,鱼香杏鲍菇
258,青椒炒鸡蛋
259,砂锅丸子
260,蒜蓉菠菜
261,雪菜炖豆腐
262,清蒸鲫鱼
263,自拌凉菜四种
264,红烧牛肉面
265,酸辣土豆丝
266,豆角炒肉
267,杏鲍菇肉片
268,山药炒木耳
269,白灼蒿子秆
270,火腿鸡蛋
271,芹菜肉丝
272,肉沫冻豆腐
273,黄豆芽炒肉丝
274,鸡丝炒西芹
275,鱼香茄子
276,香辣鸡块
277,青笋炒肉
278,红烧肉炖土豆
279,西红柿牛腩
280,萝卜炖羊肉
281,锅巴肉片
282,葱头肉片
283,笋尖拉面
284,回锅肉
285,番茄鸡柳
286,红烧肉炖粉条
287,土豆肉丝
288,醋溜木须
289,孜然土豆鸡丁
290,红烧牛肉 
291,无骨鸡柳
292,油条
293,咖喱鸡块
294,三色豆芽
295,豉汁蒸豆腐
